DO,Comunidad_Autonoma,Municipio
Calatayud,Aragón,Abanto
Calatayud,Aragón,Acered
Calatayud,Aragón,Alarba
Calatayud,Aragón,Alhama de Aragón
Calatayud,Aragón,Aniñón
Calatayud,Aragón,Ariza
Calatayud,Aragón,Atea
Calatayud,Aragón,Ateca
Calatayud,Aragón,Belmonte de Gracián
Calatayud,Aragón,Bubierca
Calatayud,Aragón,Calatayud
Calatayud,Aragón,Carenas
Calatayud,Aragón,Castejón de las Armas
Calatayud,Aragón,Castejón de Alarba
Calatayud,Aragón,Cervera de la Cañada
Calatayud,Aragón,Cetina
Calatayud,Aragón,Clarés de Ribota
Calatayud,Aragón,Codos
Calatayud,Aragón,Daroca
Calatayud,Aragón,El Frasno
Calatayud,Aragón,Fuentes de Jiloca
Calatayud,Aragón,Godojos
Calatayud,Aragón,Ibdes
Calatayud,Aragón,Jaraba
Calatayud,Aragón,La Vilueña
Calatayud,Aragón,Maluenda
Calatayud,Aragón,Manchones
Calatayud,Aragón,Mara
Calatayud,Aragón,Miedes de Aragón
Calatayud,Aragón,Monterde
Calatayud,Aragón,Montón
Calatayud,Aragón,Morata de Jiloca
Calatayud,Aragón,Moros
Calatayud,Aragón,Munébrega
Calatayud,Aragón,Murero
Calatayud,Aragón,Nuévalos
Calatayud,Aragón,Olvés
Calatayud,Aragón,Orcajo
Calatayud,Aragón,Orera
Calatayud,Aragón,Paracuellos de Jiloca
Calatayud,Aragón,Ruesca
Calatayud,Aragón,Sediles
Calatayud,Aragón,Terrer
Calatayud,Aragón,Torralba de Ribota
Calatayud,Aragón,Torrijo de la Cañada
Calatayud,Aragón,Valtorres
Calatayud,Aragón,Velilla de Jiloca
Calatayud,Aragón,Villafeliche
Calatayud,Aragón,Villalba de Perejil
Calatayud,Aragón,Villalengua
Calatayud,Aragón,Villarroya de la Sierra
Priorat,Cataluña,Bellmunt del Priorat
Priorat,Cataluña,Gratallops
Priorat,Cataluña,El Lloar
Priorat,Cataluña,La Morera de Montsant
Priorat,Cataluña,Poboleda
Priorat,Cataluña,Porrera
Priorat,Cataluña,Torroja del Priorat
Priorat,Cataluña,La Vilella Alta
Priorat,Cataluña,La Vilella Baixa
Priorat,Cataluña,Falset
Priorat,Cataluña,El Molar
