INSPIREID,COUNTRY,NATLEV,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,ribera_del_duero_Provincia
ES.IGN.BDDAE.34040707901,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34040707901",Ariany,ES5,ES53,ES532,
ES.IGN.BDDAE.34040707902,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34040707902",Es Migjorn Gran,ES5,ES53,ES533,
ES.IGN.BDDAE.34164848057,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848057",Lekeitio,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848058,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848058",Mallabia,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848059,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848059",Mañaria,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848060,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848060",Markina-Xemein,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848061,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848061",Maruri-Jatabe,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848062,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848062",Mendata,ES2,ES21,ES213,
ES.IGN.BDDAE.34153131902,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131902",Berrioplano/Berriobeiti,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131903,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131903",Berriozar,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131904,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131904",Irurtzun,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131905,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131905",Beriáin,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131906,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131906",Orkoien,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131907,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131907",Zizur Mayor/Zizur Nagusia,ES2,ES22,ES220,
ES.IGN.BDDAE.34153131908,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153131908",Lekunberri,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153059,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153059",Facero de Uzamalarre,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153060,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153060",Facería de Arambelza,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153061,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153061",Mancomunidad de Beunza y Juarbe,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153062,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153062",Comunidad de Barbarín y Olejúa,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153063,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153063",Monte Comunal de las Limitaciones de las Améscoas,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153064,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153064",Facería de Ezcabarte y otros,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153065,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153065",Facería de Aldape,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153066,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153066",Facería de Montejurra,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153067,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153067",Comunidad del Valle de Salazar,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153068,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153068",Facero de Aristregui,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153069,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153069",Facero de Ujué y Lerga,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153070,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153070",Facería de Ayarza,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153078,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153078",Bardenas Reales,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153080,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153080",Sierra de Aralar,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153081,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153081",Sierra de Lokiz,ES2,ES22,ES220,
ES.IGN.BDDAE.34153153083,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34153153083","Facería de Cogullo Alto, Cogullo Bajo, Sarmindieta y Chandivar",ES2,ES22,ES220,
ES.IGN.BDDAE.34160101001,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101001",Alegría-Dulantzi,ES2,ES21,ES211,
ES.IGN.BDDAE.34160101002,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101002",Amurrio,ES2,ES21,ES211,
ES.IGN.BDDAE.34160101017,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101017",Campezo/Kanpezu,ES2,ES21,ES211,
ES.IGN.BDDAE.34160101018,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101018",Zigoitia,ES2,ES21,ES211,
ES.IGN.BDDAE.34160101019,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101019",Kripan,ES2,ES21,ES211,
ES.IGN.BDDAE.34164848081,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848081",Lezama,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848082,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848082",Santurtzi,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848083,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848083",Ortuella,ES2,ES21,ES213,
ES.IGN.BDDAE.34164848084,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848084",Sestao,ES2,ES21,ES213,
ES.IGN.BDDAE.34160101020,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34160101020",Kuartango,ES2,ES21,ES211,
ES.IGN.BDDAE.34164848088,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34164848088",Ubide,ES2,ES21,ES213,
