INSPIREID,COUNTRY,NATLEV,NAMEUNIT
ES.IGN.BDDAE.34172626145,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Sotés
ES.IGN.BDDAE.34153131193,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Cendea de Olza/Oltza Zendea
ES.IGN.BDDAE.34153131194,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Valle de Ollo/Ollaran
ES.IGN.BDDAE.34153131195,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Orbaizeta
ES.IGN.BDDAE.34153131196,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Orbara
ES.IGN.BDDAE.34153131197,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Orísoain
ES.IGN.BDDAE.34153131198,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Oronz/Orontze
ES.IGN.BDDAE.34160101006,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Armiñón
ES.IGN.BDDAE.34160101008,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arratzua-Ubarrundia
ES.IGN.BDDAE.34160101009,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Asparrena
ES.IGN.BDDAE.34160101010,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Ayala/Aiara
ES.IGN.BDDAE.34160101011,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Baños de Ebro/Mañueta
ES.IGN.BDDAE.34160101013,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Barrundia
ES.IGN.BDDAE.34162020030,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Eibar
ES.IGN.BDDAE.34162020062,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Ormaiztegi
ES.IGN.BDDAE.34162020063,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Oiartzun
ES.IGN.BDDAE.34162020064,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Pasaia
ES.IGN.BDDAE.34162020065,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Soraluze-Placencia de las Armas
ES.IGN.BDDAE.34153131032,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arguedas
ES.IGN.BDDAE.34153131033,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Aria
ES.IGN.BDDAE.34153131034,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Aribe
ES.IGN.BDDAE.34153131035,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Armañanzas
ES.IGN.BDDAE.34153131036,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arróniz
ES.IGN.BDDAE.34153131037,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arruazu
ES.IGN.BDDAE.34162020075,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villabona
ES.IGN.BDDAE.34162020076,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Ordizia
ES.IGN.BDDAE.34162020077,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Urretxu
ES.IGN.BDDAE.34164848005,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arakaldo
ES.IGN.BDDAE.34164848006,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Arantzazu
ES.IGN.BDDAE.34164848014,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Barrika
ES.IGN.BDDAE.34164848026,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Dima
ES.IGN.BDDAE.34172626165,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Viguera
ES.IGN.BDDAE.34172626166,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villalba de Rioja
ES.IGN.BDDAE.34172626167,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villalobar de Rioja
ES.IGN.BDDAE.34172626168,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villamediana de Iregua
ES.IGN.BDDAE.34172626169,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villanueva de Cameros
ES.IGN.BDDAE.34172626170,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,El Villar de Arnedo
ES.IGN.BDDAE.34172626171,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villar de Torre
ES.IGN.BDDAE.34172626172,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villarejo
ES.IGN.BDDAE.34172626173,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villarroya
ES.IGN.BDDAE.34172626174,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villarta-Quintana
ES.IGN.BDDAE.34172626175,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Villavelayo
